degree distribution (probability density function of the degree in logarithmic bins) 
7.42425	0.176212
9.44075	0.0925275
11.425	0.0500092
13.9375	0.0414112
16.9236	0.0227297
20.4138	0.017418
24.9544	0.0124093
30.2296	0.00853401
37.2466	0.00608328
45.7558	0.00339515

degree distribution (degree-occurrences) 
7	0.1543
8	0.1137
9	0.0958
10	0.0755
11	0.0648
12	0.0479
13	0.0421
14	0.0365
15	0.035
16	0.0292
17	0.0233
18	0.0234
19	0.0189
20	0.0182
21	0.0192
22	0.0145
23	0.0125
24	0.0129
25	0.013
26	0.0109
27	0.0121
28	0.011
29	0.0094
30	0.0088
31	0.008
32	0.0074
33	0.0068
34	0.0064
35	0.0058
36	0.0056
37	0.0073
38	0.005
39	0.0052
40	0.0052
41	0.0041
42	0.0048
43	0.0035
44	0.0035
45	0.0025
46	0.0027
47	0.0038
48	0.0032
49	0.0036
50	0.0027

7	0.1543
8	0.1137
9	0.0958
10	0.0755
11	0.0648
12	0.0479
13	0.0421
14	0.0365
15	0.035
16	0.0292
17	0.0233
18	0.0234
19	0.0189
20	0.0182
21	0.0192
22	0.0145
23	0.0125
24	0.0129
25	0.013
26	0.0109
27	0.0121
28	0.011
29	0.0094
30	0.0088
31	0.008
32	0.0074
33	0.0068
34	0.0064
35	0.0058
36	0.0056
37	0.0073
38	0.005
39	0.0052
40	0.0052
41	0.0041
0	0
