degree distribution (probability density function of the degree in logarithmic bins) 
7.37594	0.174897
9.44318	0.0950662
11.576	0.0554672
13.754	0.0459314
16.9545	0.019765
20.3281	0.0157451
24.6364	0.0111158
30	0.0089657
37.725	0.00545586
45.7143	0.00313743

degree distribution (degree-occurrences) 
7	0.166
8	0.1
9	0.098
10	0.078
11	0.053
12	0.072
13	0.063
14	0.031
15	0.032
16	0.022
17	0.025
18	0.019
19	0.02
20	0.016
21	0.015
22	0.013
23	0.016
24	0.01
25	0.012
26	0.012
27	0.005
28	0.015
29	0.008
30	0.008
31	0.011
32	0.009
33	0.003
34	0.004
35	0.005
36	0.006
37	0.002
38	0.007
39	0.005
40	0.004
41	0.007
42	0.005
43	0.002
44	0.004
45	0.004
46	0.001
47	0.004
48	0.002
49	0.002
50	0.004

7	0.166
8	0.1
9	0.098
10	0.078
11	0.053
12	0.072
13	0.063
14	0.031
15	0.032
16	0.022
17	0.025
18	0.019
19	0.02
20	0.016
21	0.015
22	0.013
23	0.016
24	0.01
25	0.012
26	0.012
27	0.005
28	0.015
29	0.008
30	0.008
31	0.011
32	0.009
33	0.003
34	0.004
35	0.005
36	0.006
37	0.002
38	0.007
39	0.005
40	0.004
41	0.007
0	0
